"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M26"	0.0500275557176847	-8.78203759713259e-18	1.24986261964205	0.217646233765781	0.982801449430004	-5.07372770688485
"M5"	0.0364657745014617	-3.80073094910196e-18	0.98650876320277	0.329023708330626	0.982801449430004	-5.33875303938377
"M14"	0.0146137697676717	9.39039548280501e-18	0.924897769367961	0.359826647985966	0.982801449430004	-5.39218023351393
"M3"	0.0259876317636817	-8.89045781438114e-18	0.919869134274758	0.362420885787434	0.982801449430004	-5.39639509968472
"M11"	0.0478108018271065	9.43255890062389e-18	0.74556971275035	0.459705219946655	0.982801449430004	-5.52874809145755
"M18"	0.0184037232695631	-2.44848990619643e-18	0.687847538676082	0.494989053375383	0.982801449430004	-5.56663737118416
"M1"	-0.0323756937524449	1.6746406055849e-17	-0.639176948896624	0.525865455329651	0.982801449430004	-5.59626495479616
"M22"	-0.0155832222701727	1.10829555409629e-18	-0.466970816595373	0.64271631822474	0.982801449430004	-5.68390722036025
"M13"	-0.0121169609039076	-6.15887067425794e-18	-0.310225319323774	0.75778523504273	0.982801449430004	-5.74016389075331
"M21"	0.014492744497739	5.86523258587644e-18	0.297147070167042	0.767686632140711	0.982801449430004	-5.74383770899683
"M15"	0.00935938698356342	-2.93638088381491e-18	0.148078179972323	0.882925687828221	0.982801449430004	-5.77456053034018
"M2"	-0.00251257305301847	-1.17455235352596e-17	-0.10576612239626	0.916225964047146	0.982801449430004	-5.77953700296471
"M24"	0.00173767711273166	6.47509630789954e-19	0.0880265583988625	0.930236149339458	0.982801449430004	-5.78113010349775
"M10"	-0.00611150655005928	1.86723707483615e-18	-0.0716632692468043	0.943179325285846	0.982801449430004	-5.7823410969838
"M6"	0.00576909845806975	1.69557173085928e-18	0.0540062551466997	0.957163120604306	0.982801449430004	-5.78336950630813
"M16"	0.00416751919028656	-1.76303319936948e-17	0.0495241620083414	0.960715141003566	0.982801449430004	-5.78358457707972
"M8"	0.0033682217903266	1.89358921097295e-18	0.041515932872212	0.967063551962158	0.982801449430004	-5.78392249239352
"M23"	-0.000369296674252048	-2.55841595979566e-18	-0.0216739058775392	0.982801449430004	0.982801449430004	-5.78450363424215
